Temp,g,GR
1,50,0.072583587
3,50,0.099696522
7,50,0.1458034
10,50,0.196433963
15,50,0.326197617
25,50,0.514624643
30,50,0.550445642
35,50,0.234502163
40,50,0.01
1,70,0.066704277
3,70,0.091621049
7,70,0.133993245
10,70,0.180522704
15,70,0.299775431
25,70,0.472939764
30,70,0.505859243
35,70,0.21550736
40,70,0.01
1,90,0.05830517
3,90,0.08008453
7,90,0.1171214
10,90,0.15779207
15,90,0.26202902
25,90,0.41338925
30,90,0.44216365
35,90,0.18837161
40,90,0.01
