Temp,g,GR
2,50,0
5,50,0
10,50,0.1832322
15,50,0.3623
20,50,0.6482904
25,50,0.5959895
30,50,0.2862354
35,50,0.0822611
40,50,0
2,30,0
5,30,0
10,30,0.2089618
15,30,0.4348853
20,30,0.7588538
25,30,0.8209406
30,30,0.4167444
35,30,0.1454606
40,30,0
2,10,0
5,10,0
10,10,0.3415789
15,10,0.6104014
20,10,0.9238564
25,10,1.0139366
30,10,0.5296554
35,10,0.2055517
40,10,0
